,Artist,genre,gender,top15words
Foo Fighters,Foo Fighters,rock,male,head sang wonder everything feel real forever anything good thing ill ask gotta promise stop goes hero watch hes ordinary truth consequence say aloud use evidence race around best alarmin im say never another others one plays youre pretender surrender will keep dark yeah know done im one next come dont let somethin nothin hey go waste love hate taste best someone getting oh got im give taken faith real pain feel trust must confess lookin im make life way back home learn fly help cause save one sky sign bangin ceiling ahah sky neighborhood now keep oh dear heaven big bang gotta sleep somehow run life another wake perfect wanted light gonna everythings erased need room breathe yeah time one monkey wrench dont wanna ten fall never ill indecent accident id rather leave suffer time learn give im uhuh live love one away new way motorway drives follows back learnin ive waited long enough never begin wanna believe im die walk talk cant forever talk fell true well talked reasons knew carries aries treasons renew big stand prove around bet one days alright will say never broken stolen yet heart yeah stop said easy dont owe anything around ill stick ive learn came im one word see yeah taken call past resignations pretty good wanted fingernails seems even long markin balloons big say fall shame ohohoh ohoh ill another oh one want will splinter skin season loneliness found reason rescued im waitin tonight oh thinkin happenin now feelin rescue free degree dance lights bring time days cant ill getting think someone feel sometimes dont know remember last forever someday arrows eyes war mind shame fear heart cries fire life tears arteries away end friend come aurora turn back hell yeah remember will wait one time take now spin sun
Fugazi,Fugazi,rock,male,cares im barely see breath surrounded jealousy death cant reached one call dragged underneath separate waiting room moving dont sitting ahh everybodys wait want news wont tell cant come time movement bad talking running cant betrays mind youre mouth better start now time living life repeater got business know im dont youve need ive now name number something say job want suffer ive got us eyes nothing cant walk street free suggestion men skin look nothing owe control left us will give reason live lose use merchandise keeps line common dying never youve now breaks im gimme got give thought shot pill cure done world promises will words see rearrange free go us stand shit speak way breathe present air stop turn pass shove shelf im lead sleeping languor rises reaching alarm theres never much never mind im playing play knowing way difference whats selling youre buying receiving undefiled yeah shes back free breathing moving coming burn cruel shut broke surface breathe close eyes see well want figure throw lets knock check see theres somebody home bulldog front bold right somewhere wants everybody process dismissal shelter location development talking forced removal people corner morning first comes argument will matter now disease im start falling executions commence sides makes sense difference youd make great cop got distrusted look wires im talking lot questions finger pointing said stop accessory problem know epic time im ive got tell something dont anything left inside way action reaction thinking now found said people lying dead die distraction bit late got question à demain ive got lockheed martin marietta say guess end lesson time one haah right want im now send make clear feel gonna shot untraceable untranslatable cant explain wanted say anytime spent everywhere anywhere roll bag drag sun comes tide park alone back home
Led Zeppelin,Led Zeppelin,rock,male,theres ooh know makes wonder stairway will lady shes buying heaven wind sure gold word ooh ahh land will come ice snow midnight sun hot springs flow sweep threshing oar oh ooh let yeahyeah yeah take im fill baby mama denying see sun face sit oh ahah yeah baby hey gonna make way cant woman move groove ah got ahh love ah wanna whole lotta baby oh im gonna give cooling way need inside keep never la ah hard woman start seems might find mountain spent days unkind smoked stuff baby time way gotta now ramble find im got sing song cant keep ive going ah ahh oh baby confused know yeah dont woman sweet dazed long true wanted never bring oh back now night light dark sing ride dance morning waiting bow time will still will sun refused shine loving mountains crumble sea kind woman love inspiration happiness give going ah levee oh now break ooh wont dow got home well youre chicago keeps baby babe leave oh know callin gonna got hear really never im ive go day love now oh little hey bit lonely fire feather wind within end hand one cloth quarter oh hold ask know snow thats carry news must choose path one goes side yeah ive drag lose seven dont im hear oh makes baby loving worried mind tell oh upon us talk yeah know little season ive felt hard gloom time ah love many oh know times much ive darling really got open road dream guessing hey lady lonely long time yeah back ooh let baby come love carry oh open arms cant times ive man good know home dont care bad share woman left browneyed still seem people love way heartbreaker know fellas take long money new eyes one years try make
Nirvana,Nirvana,rock,male,hello low denial now entertain us feel oh lights less dangerous stupid contagious mulatto albino memoria dont gun friend old come want take swear enemy time hurry choice late rest advice hey wait got new complaint forever debt priceless ive black eyes pisces weak locked yeah im gonna crack cause found thats okay miss love killed head care ive happy let want take ride cut help please polly isnt seed clip dirty wings got rope im chew meat pass back forth passionate kiss mouth one baby another says lucky met something way mmm yeah underneath bridge tarp sprung leak animals ive trapped become pets im rape im one ahah friend hate waste favorite inside source ill kiss open sores appreciate likes knows means hes one pretty songs sing along shoot gun say yeah sell kids face long never lost control youre man sold world spoke died alone time ago years sun married yeah apologies feel one buried say everyone gay write dont right wish easily ill smell make go way still dont ive got friend see feel wanted steal arrest girl pines dont night shiver sun shine whole last leadbellys lie tell sleep will go way find gotta better im id wait now ah come people smile brother everybody together cant see every night ill take advantage hang dry free need easy friend ear lend im think dumb happy hangover sun pretend gone light day done havin fun maybe well said dont care mind away afraid even im need mean stare breed plant house build im sit drink pennyroyal tea uh anemic royalty ha distill life thats inside time everyone know right youre never hey will bother away move wont afraid fear thought put always ooh im plain cant complain love better know wrong got say dont make go ill
Queens of the Stone Age,Queens of the Stone Age,rock,male,one knows realize youre mine indeed fool de ver y follow come undone gift aquí ohoh tail uhuhuhuh uhuh night will control gitchy wanna id im flies ahooh ooh lala never im hole edge loved hope shock awake tear apart pinned note hospital gown deeper closer one lie ships night silence passing baby face imagined id instead im lonely nowhere go flow believe head matter throw away cant make dont say doesnt anymore something want gimme toro klon radio songs saga bmovie gore los angeles play sound everyone anyone hey used way love us now come doesnt matter seventeen yeah terrorize world exploded behind never wanna make wit chu anytime anywhere know cant say aint thing dont understand evil eye feel love im anyone right cause follow want god come take home alone crowd supposed fortress fall always safe caves youre every mine know end aint rise says really come kalopsia byebye row oh forget playing far boat hell never lie tonight rosetinted eyes color around everything goes comes back know go long see dear show holdin fear letting one fairweather friends well gonna gone rain every whats take back bed gossips frauds snakes theyre sister little cant find another way livin life behind shadow come baby hey wanna cheek calling chasing now feet dont fail dancing one gotta move ohohoh thats gutter clouds fool im yeah smooth sailin mind closed oh got every damage needs shut ah one way always evermore forever ill close now whats life us one world move might eyes dream kneeling heal fire god sun gun beyond good dont godless heathens far desert road everything valium vicodin marijuana nicotine ecstasy alcohol oh ccccocaine cocaine ccocaine hey might icotine ah oh youre come go drivin study dyin right little lets late enough see whats
The Rolling Stones,The Rolling Stones,rock,male,hoo ooo yeah name whats ah meet tell pleased hope guess nature game puzzlin oh black see painted turn want red door head look wanna colours anymore girls walk dressed yeah brown sugar come taste good girl woo ah around midnight young know hes alright away shot kiss yeah war children oohoohooh ooh today rape murder threatening life shelter im cant always want yeah find might need ah try sometime man well baby saw today wild horses couldnt drag away know living let well ride day childhood easy things wanted never pretty enough ill beast burden love put make please aint want feet rough rich cant try satisfaction hey im cause man oh thats say come ill tells girl driving colours comes everywhere shes rainbow coming air oh combs hair seen lady fairer dressed blue ah ooh ive miss lord child ahahah wont long sometime oohoohooh say come sleeping alone angie cant say aint will still eyes lead us loving souls money coats satisfied never gimme honky tonk women blues mind seem blew paris met ginsoaked barroom queen memphis tried gas jumpin jack flash right yeah now fact im watch born crossfire hurricane howled ma hear yeah now knockin cant got help street baby aint stranger ive around satin shoes never start stop make man grown cry got slide ill dont mean ah youve ride dead flowers send take youre know rose well forget put grave wont little susie think boy cause fighting street well now poor cept sing rocknroll band sleepy london town theres hey yeah im alright got feeling cant aint touched night call name salivate pavlov dog angry dont yeah keep im go please hear one two never cant love name melody thumb shes change come babe way take girl say alright easy talks spoken yeah ah
The Strokes,The Strokes,rock,male,dont want maybe youre go know oh tonight cause think im hard right sayin words sometimes say oh someday im yeah stand try stay always maya lackin depth will best back im gonna time now ill go alone easy hope innocent old horse one truth youre im now fast enough sound said please dont slow going strange part town yeah yeah yeaheah don t dont love will live face please long cause want without life want nah dont time im staying questions hungry know miss yeah take babe hold cant oh want make dont nothing together things never work didnt take shortcuts spent money saved oh understand feel dont baby night left last said turn turned round know walkin gonna time sun now let oh leaving different im pretend havin fun blood cant help dont im cant see tryin lied think disagree dont even apartment now stayin cause way tired waiting im cant lonely ill boy door escape never gonna make time guess thats anyone don t time understand wanna remind know thing us remember run place waste sidewalk stand see way say im right oh dont cant take ill well man raised carolina tryin oh dont ill shut way see along one think others might twenty cant sunshine waiting want go another dont friend new song thats break okay oh deeper less know one bad decisions makin ooh oh yeah im cant dont making uhoh pick gun put gloves eyes go stop oh hard saw time says let tried soma take opened pain new come didnt wanna dont know shoulder ya take now ill want youre notice gun loaded wait ill friend im long adversary will got live dont go way tired door theyll yeah hey oh look bright side gonna wont let happen summer coming got remedy take
The White Stripes,The White Stripes,rock,male,im gonna back comin bleedin right behind says hear every tell home fight em seven tell walk school gonna friends will sound time learn teacher back books bugs safely without ah love yeah shes said now fell says fine cant brain girl think anything left button hardest now little got dont something ohoh started baby didnt know living old house la icky thump well hit looking said need around dont one white cane ah whoda im time girl let third seventh son now care ball take sweet little quite possible youre hear around think know lips make sound tell im coming home alone dont id oh problems squirrel ohohoh janet one take us well faith came lost winter time carry got reaction took white orchid now anyway behind didnt turned blue something dare old better yeah ah maybe now well ill im put love ice teach thatll nice dont fingers got take inside vacancy im well elevator hotel yorba ill glad see later found thoughts cold night come saw standing corner make feel might hear dont longer know edge burning love jack well holly dont know really one good true another white little brother theres know yeah well truth think oh different boat shes rockin theres stoppin still make role theres home away go girl ahhhh done completely come across face talking looking leave id gonna ring thinkin doorbell yeah im oh well theyre dont make right seem come around dont know everything love need planning two now make summer rose sun rain sweet beat love cant true im man union forever sure gotta well said cfk cost say sorry little troubles tell come around will lots girls walk tears thats youve looking years someone home way now cause sweet pocket theres put safe lock know keep shes feel youll
2Pac,2Pac,rap,male,money nigga take fuck aint see know now im motherfucker yo bad boy em ya way yeah thats change never come aww back see brother gotta thingsll oh let ooh head ya dont keep yeah oh make ooh child know thing aint women cause youre hail mary nigga now da ride die run see dada come quick wanna shit la mama lady love ya sweet appreciated dont know though back even theres dear cause aint shake city california know uh party la keep rockin good throw baby cali yeah let ridah nigga got wont deny im straight dont wanna fuck right ya ambitions police bustin nigga life live eyes day die boss thug cause even know high gettin im shit nothin gangsta party aint motherfuckin nigga got now shit ha im ive two wanted us nigga life goes rest g last left brother peace death many fell victim streets young concrete rose grew learned breathe fresh air damn one even cared dreams provin natures laws aint cha mad im got cause nigga now know dont shit even time us changed god judge cause now im man everybody see dont tell got live thats know nobody im know got live living trying give sayin biggie laugh see aint one dying tryna world baby nothin lose im got dont one makin cause question make game bodies aint t love m don won tried everything give now gettin cause wanna man away sucka see cant nigga im wont thug way go motherfucker visualize right eyes aint know dre go every im see video hoes city matter yeah know sayin bitch nigga love try round around go dont baby cause know see hoes now need let im underground break many tears shed im lord god lost years suffered peers now see walk die please
A Tribe Called Quest,A Tribe Called Quest,rap,male,girl relax please settle let got couldnt ill street yo man phife now relate keep must go folks dont thats still bad gon aint shit nigga boy fucking tell back yo go scenario whats know yall time back ugh bo dont come later rhyme cause kick yes really rhythm tribe im big us well gone go quest track feel come check yall rhyme phife uh tip point time im cause see used routine um back buggin youre yo man cause cant one never styles dont im even really best go bonita applebum gotta put said ya know hey mmm love right need mhm got song jazz dont got stop ya cause come make new competition way yeah crew now brothers make s happen let together somethin gotta nigga t space quitters brother sisters mothers fathers right true world tour muhammad man goin every place mic hand never time comin quest move come gotta time fake make never man black running dont cause passing say listen conrad tokyo sapporo pistachio blood sayonara tomorrow ground shit times nation done mash show dawg generation di nigga us im show uh huh g beat greater see written dudes cool hot sex platter rock im cause mundane see cant maintain especially come back lyrical master phife dawg dont back want problem brotha step know man one don juice thats trini now come things heart confuse sit harder check caught evening kissed cheek moved help find kids dont shit fantasy know real im nigga aint yall wanna though gon probably high oh god yes uh know licks dont race uhuh man im mean tip got mc sound solid wall gonna hear tip phifey man boy music jedi electric breaking phife ali butter em baby girl fly know yo cant cause flo now phife one ho find
Eminem,Eminem,rap,male,im make know dont cause em still fuck take gotta say way music lose songs better go one hes shot opportunity moment yo let goes come blow lose music never im fuckin got youre bitch fuck next still talk cause give mic hit really name im em wanna dont cause column eye evil take back look bitch got minute nobody cause back im da lala whos little guess empty without feel job everybody controversy round shady slim please stand im real yes imitating wont cause dont fuck will hes got im shit got see bad hope cant even dont picture wall slim man didnt know im newooh oohooh think thats crazy nothin friends head youre save well cause monster along yeah im back yall woo gotta dont move give fuck got never joyner hop fuckin im dont cause even illa gonna bitch see aint shit fuck youre take lil know daddy know see dont mama little now always im baby ya got mom dad cause im gonna em aint got time know hit venom bit knock adrenaline momentum knowin slow til roof comes legs give shit im go lights cant shut mouth smoke clears high dont now river want cause feel run ooh lie well one truth let shes say superman cant know love want baby girl think im come dont ill wanna cause save common thats much dont im yeah yah shit fuck us yall fuckin youre better mic go let kick everybody berserk night long cause turn dont rock knock say broke aint dont fall im yeah faith oh fate better know time tell em got loud face fuck pac hes dont know now everybody motherfuckin hands look one two three four guy love way right lie em thats gonna stand well im know youre back watch hear
Ice Cube,Ice Cube,rap,male,think now heres nigga getting youre cube done yall cause vaseline let ice without got em got didnt even shit today yeah hit im niggas shake gotta ass fuck good aint rap gangsta nothin made nigga dont im fuck back know say raw flow talkin check yo self one two wreck cause chickitycheck micmicrophone yeah im come better micmicmicrophone nigga wohuhohohoh westside got fool know comin im nothin aint ass thought knew jack yeah bombass nigga look attitudes shit motherfuckin started gangsta thanks hello yo im bitch got dont cause nigga hate cause fuck love im shit ice cube dont aint say yo gotta see put ass back nigga dont cmon gon shit uh stop click im hit baby uhhuh hood fuck us every wanna come drugs thugs give guns wonder count slugs around im cop black white police showin good fuckin bad clean terrible fuck dont try hit nigga arrest president nigga yeah got evidence know im fuck real make woo thats dont eye scared motherfucker go church dirt put work berzerk gutter crazy hey nigga got yeah make go want nobody now everybody heaven boy im aint forgot ill see got send one wanna fuck dont hood mentality shake supposed change reality im nigga love go gon cause little every store go make cause dont got motherfucker mother fuck yo black well time nigga im smoke weed fuck west coast lil ice cube motherfucker got go george clinton throw air dont cause yeah oh neighborhood care friday got fool side aint ass know life goes neighborhood cause steady mobbin seen sight im got dont bitch nigga know known im t nigga vet don still now wet ghetto fool said bullet cause hey life im got cause cube ice nigga ya wanted cant keep see fuck back know lench
